League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol 1. Lig,16.01.2002 13:30,DARDANELSPOR A.Ş.,0,0,AYDINSPOR
Trendyol 1. Lig,15.12.2001 13:30,ŞEKERSPOR,1,2,A.SEBATSPOR
Trendyol 1. Lig,15.12.2001 13:30,ALTAY,4,1,ELAZIĞSPOR
Trendyol 1. Lig,16.12.2001 13:30,SİVASSPOR,0,0,ADANASPOR A.Ş.
Trendyol 1. Lig,16.12.2001 13:30,HATAYSPOR,3,0,SİİRT JETPA SPOR
Trendyol 1. Lig,16.12.2001 13:30,ERZURUMSPOR,2,0,KAYSERİSPOR
Trendyol 1. Lig,16.12.2001 13:30,BÜYÜKŞEHİR BLD.SPOR,3,1,İZMİRSPOR
Trendyol 1. Lig,16.12.2001 13:30,GÜMÜŞHANE DOĞANSPOR,4,0,B.B. ANKARASPOR
Trendyol 1. Lig,16.12.2001 13:30,ERCİYESSPOR,1,4,SAKARYASPOR A.Ş.
Trendyol 1. Lig,16.12.2001 13:30,AYDINSPOR,1,0,BATMAN PETROLSPOR
Trendyol 1. Lig,16.12.2001 13:30,KOMBASSAN KONYASPOR,4,2,DARDANELSPOR A.Ş.
Trendyol 1. Lig,20.01.2002 13:30,DARDANELSPOR A.Ş.,2,1,BATMAN PETROLSPOR
Trendyol 1. Lig,20.01.2002 13:30,AYDINSPOR,0,0,SAKARYASPOR A.Ş.
Trendyol 1. Lig,20.01.2002 13:30,ERCİYESSPOR,0,1,ELAZIĞSPOR
Trendyol 1. Lig,20.01.2002 13:30,ALTAY,2,1,A.SEBATSPOR
Trendyol 1. Lig,20.01.2002 13:30,ŞEKERSPOR,1,0,B.B. ANKARASPOR
Trendyol 1. Lig,20.01.2002 13:30,GÜMÜŞHANE DOĞANSPOR,2,0,İZMİRSPOR
Trendyol 1. Lig,20.01.2002 13:30,BÜYÜKŞEHİR BLD.SPOR,0,2,KAYSERİSPOR
Trendyol 1. Lig,20.01.2002 13:30,ERZURUMSPOR,3,0,SİİRT JETPA SPOR
Trendyol 1. Lig,20.01.2002 13:30,HATAYSPOR,0,0,ADANASPOR A.Ş.
Trendyol 1. Lig,20.01.2002 13:30,KOMBASSAN KONYASPOR,3,0,SİVASSPOR
Trendyol 1. Lig,27.01.2002 13:30,SAKARYASPOR A.Ş.,3,0,DARDANELSPOR A.Ş.
Trendyol 1. Lig,27.01.2002 13:30,SİVASSPOR,1,0,HATAYSPOR
Trendyol 1. Lig,27.01.2002 13:30,İZMİRSPOR,3,1,ŞEKERSPOR
Trendyol 1. Lig,27.01.2002 13:30,B.B. ANKARASPOR,1,2,ALTAY
Trendyol 1. Lig,27.01.2002 13:30,BATMAN PETROLSPOR,1,3,KOMBASSAN KONYASPOR
Trendyol 1. Lig,27.01.2002 13:33,KAYSERİSPOR,1,1,GÜMÜŞHANE DOĞANSPOR
Trendyol 1. Lig,27.01.2002 13:34,ADANASPOR A.Ş.,1,0,ERZURUMSPOR
Trendyol 1. Lig,27.01.2002 13:34,ELAZIĞSPOR,4,1,AYDINSPOR
Trendyol 1. Lig,27.01.2002 13:35,A.SEBATSPOR,5,0,ERCİYESSPOR
Trendyol 1. Lig,27.01.2002 13:36,SİİRT JETPA SPOR,1,1,BÜYÜKŞEHİR BLD.SPOR
Trendyol 1. Lig,02.02.2002 13:30,ALTAY,2,1,İZMİRSPOR
Trendyol 1. Lig,02.02.2002 13:30,ŞEKERSPOR,0,1,KAYSERİSPOR
Trendyol 1. Lig,03.02.2002 13:30,BATMAN PETROLSPOR,2,2,SAKARYASPOR A.Ş.
Trendyol 1. Lig,03.02.2002 13:30,DARDANELSPOR A.Ş.,1,0,ELAZIĞSPOR
Trendyol 1. Lig,03.02.2002 13:30,AYDINSPOR,0,0,A.SEBATSPOR
Trendyol 1. Lig,03.02.2002 13:30,ERCİYESSPOR,1,0,B.B. ANKARASPOR
Trendyol 1. Lig,03.02.2002 13:30,GÜMÜŞHANE DOĞANSPOR,1,0,SİİRT JETPA SPOR
Trendyol 1. Lig,03.02.2002 13:30,BÜYÜKŞEHİR BLD.SPOR,1,1,ADANASPOR A.Ş.
Trendyol 1. Lig,03.02.2002 13:30,ERZURUMSPOR,0,0,SİVASSPOR
Trendyol 1. Lig,03.02.2002 13:30,KOMBASSAN KONYASPOR,0,0,HATAYSPOR
Trendyol 1. Lig,10.02.2002 13:30,A.SEBATSPOR,2,1,DARDANELSPOR A.Ş.
Trendyol 1. Lig,10.02.2002 13:30,ELAZIĞSPOR,3,0,BATMAN PETROLSPOR
Trendyol 1. Lig,10.02.2002 13:30,HATAYSPOR,1,3,ERZURUMSPOR
Trendyol 1. Lig,10.02.2002 13:30,SİVASSPOR,2,1,BÜYÜKŞEHİR BLD.SPOR
Trendyol 1. Lig,10.02.2002 13:30,ADANASPOR A.Ş.,1,0,GÜMÜŞHANE DOĞANSPOR
Trendyol 1. Lig,10.02.2002 13:30,SİİRT JETPA SPOR,1,0,ŞEKERSPOR
Trendyol 1. Lig,10.02.2002 13:30,KAYSERİSPOR,3,2,ALTAY
Trendyol 1. Lig,10.02.2002 13:30,İZMİRSPOR,1,0,ERCİYESSPOR
Trendyol 1. Lig,10.02.2002 13:30,B.B. ANKARASPOR,5,0,AYDINSPOR
Trendyol 1. Lig,10.02.2002 13:30,SAKARYASPOR A.Ş.,4,0,KOMBASSAN KONYASPOR
Trendyol 1. Lig,16.02.2002 12:00,ALTAY,3,0,SİİRT JETPA SPOR
Trendyol 1. Lig,17.02.2002 12:00,KOMBASSAN KONYASPOR,0,0,ERZURUMSPOR
Trendyol 1. Lig,17.02.2002 13:30,SAKARYASPOR A.Ş.,1,3,ELAZIĞSPOR
Trendyol 1. Lig,17.02.2002 13:30,BATMAN PETROLSPOR,0,1,A.SEBATSPOR
Trendyol 1. Lig,17.02.2002 13:30,DARDANELSPOR A.Ş.,2,0,B.B. ANKARASPOR
Trendyol 1. Lig,17.02.2002 13:30,AYDINSPOR,1,2,İZMİRSPOR
Trendyol 1. Lig,17.02.2002 13:30,ERCİYESSPOR,0,4,KAYSERİSPOR
Trendyol 1. Lig,17.02.2002 13:30,ŞEKERSPOR,4,1,ADANASPOR A.Ş.
Trendyol 1. Lig,17.02.2002 13:30,GÜMÜŞHANE DOĞANSPOR,0,0,SİVASSPOR
Trendyol 1. Lig,17.02.2002 13:30,BÜYÜKŞEHİR BLD.SPOR,2,0,HATAYSPOR
Trendyol 1. Lig,23.02.2002 12:00,A.SEBATSPOR,1,0,SAKARYASPOR A.Ş.
Trendyol 1. Lig,24.02.2002 12:00,ADANASPOR A.Ş.,6,1,ALTAY
Trendyol 1. Lig,24.02.2002 13:30,İZMİRSPOR,1,1,DARDANELSPOR A.Ş.
Trendyol 1. Lig,24.02.2002 13:30,BATMAN PETROLSPOR,0,1,B.B. ANKARASPOR
Trendyol 1. Lig,24.02.2002 13:30,ERZURUMSPOR,3,0,BÜYÜKŞEHİR BLD.SPOR
Trendyol 1. Lig,24.02.2002 13:30,HATAYSPOR,2,1,GÜMÜŞHANE DOĞANSPOR
Trendyol 1. Lig,24.02.2002 13:30,SİVASSPOR,1,2,ŞEKERSPOR
Trendyol 1. Lig,24.02.2002 13:30,SİİRT JETPA SPOR,3,0,ERCİYESSPOR
Trendyol 1. Lig,24.02.2002 13:30,KAYSERİSPOR,5,1,AYDINSPOR
Trendyol 1. Lig,24.02.2002 13:30,ELAZIĞSPOR,4,2,KOMBASSAN KONYASPOR
Trendyol 1. Lig,02.03.2002 12:00,ALTAY,5,3,SİVASSPOR
Trendyol 1. Lig,03.03.2002 12:00,KOMBASSAN KONYASPOR,3,1,BÜYÜKŞEHİR BLD.SPOR
Trendyol 1. Lig,03.03.2002 13:30,ELAZIĞSPOR,1,1,A.SEBATSPOR
Trendyol 1. Lig,03.03.2002 13:30,SAKARYASPOR A.Ş.,1,0,B.B. ANKARASPOR
