League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,25.08.2001 19:00,GENÇLERBİRLİĞİ,0,1,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,25.08.2001 19:00,ANTALYASPOR A.Ş.,3,3,YİMPAŞ YOZGATSPOR A.Ş.
Trendyol Süper Lig,26.08.2001 19:00,GAZİANTEPSPOR,0,0,DENİZLİSPOR
Trendyol Süper Lig,26.08.2001 19:00,KOCAELİSPOR,2,0,MALATYASPOR
Trendyol Süper Lig,26.08.2001 19:00,FENERBAHÇE,4,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,26.08.2001 19:00,ÇAYKUR RİZESPOR,3,6,GALATASARAY
Trendyol Süper Lig,25.08.2000 20:00,SAMSUNSPOR,1,1,TRABZONSPOR
Trendyol Süper Lig,26.08.2000 17:00,SİİRT JETPA SPOR,2,2,ADANASPOR A.Ş.
Trendyol Süper Lig,26.08.2000 19:00,DENİZLİSPOR,3,1,ERZURUMSPOR
Trendyol Süper Lig,26.08.2000 19:04,GENÇLERBİRLİĞİ,3,1,FENERBAHÇE
Trendyol Süper Lig,27.08.2000 17:00,İSTANBULSPOR A.Ş.,0,2,MKE ANKARAGÜCÜ
Trendyol Süper Lig,27.08.2000 17:00,YİMPAŞ YOZGATSPOR,0,0,ANTALYASPOR A.Ş.
Trendyol Süper Lig,27.08.2000 19:00,KOCAELİSPOR,1,2,GAZİANTEPSPOR
Trendyol Süper Lig,27.08.2000 19:00,BEŞİKTAŞ,2,1,ÇAYKUR RİZESPOR
Trendyol Süper Lig,06.09.2000 20:00,BURSASPOR,0,2,GALATASARAY
Trendyol Süper Lig,23.08.2003 16:30,A.SEBATSPOR,1,3,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,23.08.2003 19:00,BURSASPOR,2,2,GALATASARAY
Trendyol Süper Lig,23.08.2003 19:00,ÇAYKUR RİZESPOR,2,1,MALATYASPOR
Trendyol Süper Lig,23.08.2003 19:00,ADANASPOR A.Ş.,0,1,TRABZONSPOR
Trendyol Süper Lig,23.08.2003 21:00,FENERBAHÇE,7,1,ELAZIĞSPOR
Trendyol Süper Lig,24.08.2003 19:00,SAMSUNSPOR,2,1,DENİZLİSPOR
Trendyol Süper Lig,24.08.2003 19:00,GENÇLERBİRLİĞİ,1,0,GAZİANTEPSPOR
Trendyol Süper Lig,24.08.2003 19:00,BEŞİKTAŞ A.Ş.,3,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,24.08.2003 19:00,KONYASPOR,3,1,DİYARBAKIRSPOR
Trendyol Süper Lig,21.08.2004 17:00,İSTANBULSPOR A.Ş.,0,3,FENERBAHÇE
Trendyol Süper Lig,21.08.2004 19:00,GENÇLERBİRLİĞİ,1,1,B.B. ANKARASPOR
Trendyol Süper Lig,21.08.2004 19:00,MALATYASPOR,3,4,TRABZONSPOR
Trendyol Süper Lig,21.08.2004 19:00,SAMSUNSPOR,1,1,KONYASPOR
Trendyol Süper Lig,21.08.2004 20:00,DENİZLİSPOR,3,1,BEŞİKTAŞ A.Ş.
