League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,26.10.2011 20:30,GALATASARAY A.Ş.,2,4,GAZİANTEPSPOR
Trendyol Süper Lig,26.10.2011 20:30,TRABZONSPOR A.Ş.,2,2,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,27.10.2011 18:00,GENÇLERBİRLİĞİ,1,0,KAYSERİSPOR
Trendyol Süper Lig,27.10.2011 18:30,SİVASSPOR,1,0,MERSİN İDMAN YURDU
Trendyol Süper Lig,27.10.2011 20:30,MANİSASPOR,2,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,27.10.2011 20:30,BEŞİKTAŞ A.Ş.,2,2,FENERBAHÇE A.Ş.
Trendyol Süper Lig,19.10.2012 20:00,GENÇLERBİRLİĞİ,3,3,GALATASARAY A.Ş.
Trendyol Süper Lig,20.10.2012 16:00,ORDUSPOR,2,2,SANİCA BORU ELAZIĞSPOR
Trendyol Süper Lig,20.10.2012 19:00,BURSASPOR,1,1,FENERBAHÇE A.Ş.
Trendyol Süper Lig,20.10.2012 20:00,MEDİCAL PARK ANTALYASPOR,4,2,SİVASSPOR
Trendyol Süper Lig,21.10.2012 16:00,ESKİŞEHİRSPOR,5,2,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,21.10.2012 16:00,KASIMPAŞA A.Ş.,2,2,MERSİN İDMANYURDU
Trendyol Süper Lig,21.10.2012 19:00,BEŞİKTAŞ A.Ş.,1,1,TRABZONSPOR A.Ş.
Trendyol Süper Lig,21.10.2012 19:00,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,0,GAZİANTEPSPOR
Trendyol Süper Lig,22.10.2012 20:00,KAYSERİSPOR,0,1,İSTANBUL BBSK
Trendyol Süper Lig,29.10.2011 15:00,MEDİCAL PARK ANTALYASPOR,1,1,ORDUSPOR
Trendyol Süper Lig,29.10.2011 19:00,GAZİANTEPSPOR,0,1,TRABZONSPOR A.Ş.
Trendyol Süper Lig,29.10.2011 19:00,ESKİŞEHİRSPOR,1,0,SAMSUNSPOR
Trendyol Süper Lig,30.10.2011 15:00,BURSASPOR,0,0,MANİSASPOR
Trendyol Süper Lig,30.10.2011 16:00,KAYSERİSPOR,0,2,GALATASARAY A.Ş.
Trendyol Süper Lig,30.10.2011 19:00,MKE ANKARAGÜCÜ,1,2,İSTANBUL BŞ BLD. SPOR
Trendyol Süper Lig,30.10.2011 19:00,BEŞİKTAŞ A.Ş.,3,1,SİVASSPOR
Trendyol Süper Lig,31.10.2011 20:00,MERSİN İDMAN YURDU,2,1,GENÇLERBİRLİĞİ
Trendyol Süper Lig,31.10.2011 20:00,FENERBAHÇE A.Ş.,1,0,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,26.10.2012 20:00,KASIMPAŞA A.Ş.,1,3,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,26.10.2012 20:00,SANİCA BORU ELAZIĞSPOR,1,1,ESKİŞEHİRSPOR
Trendyol Süper Lig,27.10.2012 16:00,MERSİN İDMANYURDU,2,0,İSTANBUL BBSK
Trendyol Süper Lig,27.10.2012 19:00,SİVASSPOR,1,2,AKHİSAR BELEDİYE GENÇLİK VE SPOR
Trendyol Süper Lig,27.10.2012 19:00,GALATASARAY A.Ş.,3,0,KAYSERİSPOR
Trendyol Süper Lig,28.10.2012 16:00,KARDEMİR D.Ç. KARABÜKSPOR,0,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,28.10.2012 19:00,GAZİANTEPSPOR,3,0,ORDUSPOR
Trendyol Süper Lig,28.10.2012 19:00,TRABZONSPOR A.Ş.,0,1,BURSASPOR
Trendyol Süper Lig,29.10.2012 20:00,FENERBAHÇE A.Ş.,1,3,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,04.11.2011 20:00,SİVASSPOR,2,0,FENERBAHÇE A.Ş.
Trendyol Süper Lig,04.11.2011 20:00,SAMSUNSPOR,2,2,MKE ANKARAGÜCÜ
Trendyol Süper Lig,05.11.2011 13:00,ORDUSPOR,0,0,GAZİANTEPSPOR
Trendyol Süper Lig,05.11.2011 13:00,MANİSASPOR,1,0,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,05.11.2011 16:00,KARDEMİR D.Ç. KARABÜKSPOR,1,2,ESKİŞEHİRSPOR
Trendyol Süper Lig,05.11.2011 19:00,GALATASARAY A.Ş.,0,0,MERSİN İDMAN YURDU
Trendyol Süper Lig,06.11.2011 13:00,İSTANBUL BŞ BLD. SPOR,0,0,BURSASPOR
Trendyol Süper Lig,06.11.2011 16:00,TRABZONSPOR A.Ş.,2,1,KAYSERİSPOR
Trendyol Süper Lig,06.11.2011 19:00,GENÇLERBİRLİĞİ,4,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,02.11.2012 20:00,İSTANBUL BBSK,1,3,GALATASARAY A.Ş.
