League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,01.03.2003 16:30,BURSASPOR,1,2,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,01.03.2003 19:00,KOCAELİSPOR,0,1,GALATASARAY
Trendyol Süper Lig,02.03.2003 13:30,ELAZIĞSPOR,0,2,DENİZLİSPOR
Trendyol Süper Lig,02.03.2003 13:30,ADANASPOR A.Ş.,0,2,MKE ANKARAGÜCÜ
Trendyol Süper Lig,02.03.2003 13:30,SAMSUNSPOR,3,1,DİYARBAKIRSPOR
Trendyol Süper Lig,02.03.2003 19:00,BEŞİKTAŞ A.Ş.,7,3,GÖZTEPE A.Ş.
Trendyol Süper Lig,07.03.2003 20:00,GAZİANTEPSPOR,1,1,ADANASPOR A.Ş.
Trendyol Süper Lig,08.03.2003 16:30,MALATYASPOR,1,1,ELAZIĞSPOR
Trendyol Süper Lig,08.03.2003 16:30,GÖZTEPE A.Ş.,0,0,SAMSUNSPOR
Trendyol Süper Lig,08.03.2003 16:30,DENİZLİSPOR,1,1,ALTAY
Trendyol Süper Lig,08.03.2003 19:00,GALATASARAY,2,0,FENERBAHÇE
Trendyol Süper Lig,09.03.2003 13:30,İSTANBULSPOR A.Ş.,2,1,KOCAELİSPOR
Trendyol Süper Lig,09.03.2003 13:30,DİYARBAKIRSPOR,4,0,BURSASPOR
Trendyol Süper Lig,09.03.2003 16:30,MKE ANKARAGÜCÜ,0,1,GENÇLERBİRLİĞİ
Trendyol Süper Lig,09.03.2003 19:00,TRABZONSPOR,1,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,14.03.2003 20:00,GENÇLERBİRLİĞİ,2,1,GAZİANTEPSPOR
Trendyol Süper Lig,15.03.2003 13:30,ELAZIĞSPOR,3,3,FENERBAHÇE
Trendyol Süper Lig,15.03.2003 15:30,İSTANBULSPOR A.Ş.,1,2,GALATASARAY
Trendyol Süper Lig,15.03.2003 16:30,SAMSUNSPOR,1,3,TRABZONSPOR
Trendyol Süper Lig,15.03.2003 16:30,ADANASPOR A.Ş.,2,1,DENİZLİSPOR
Trendyol Süper Lig,16.03.2003 13:00,ALTAY,0,2,MALATYASPOR
Trendyol Süper Lig,16.03.2003 13:30,BURSASPOR,1,0,GÖZTEPE A.Ş.
Trendyol Süper Lig,16.03.2003 13:30,KOCAELİSPOR,1,1,DİYARBAKIRSPOR
Trendyol Süper Lig,16.03.2003 19:00,BEŞİKTAŞ A.Ş.,1,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,22.03.2003 16:30,MKE ANKARAGÜCÜ,3,2,SAMSUNSPOR
Trendyol Süper Lig,22.03.2003 16:30,MALATYASPOR,1,0,ADANASPOR A.Ş.
Trendyol Süper Lig,22.03.2003 16:30,DİYARBAKIRSPOR,1,1,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,22.03.2003 19:00,FENERBAHÇE,0,1,ALTAY
Trendyol Süper Lig,23.03.2003 13:30,TRABZONSPOR,3,0,BURSASPOR
Trendyol Süper Lig,23.03.2003 13:30,DENİZLİSPOR,1,3,GENÇLERBİRLİĞİ
Trendyol Süper Lig,23.03.2003 13:30,GÖZTEPE A.Ş.,1,2,KOCAELİSPOR
Trendyol Süper Lig,23.03.2003 16:30,GAZİANTEPSPOR,1,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,23.03.2003 19:00,GALATASARAY,3,0,ELAZIĞSPOR
Trendyol Süper Lig,05.04.2003 16:30,KOCAELİSPOR,2,2,TRABZONSPOR
Trendyol Süper Lig,05.04.2003 16:30,SAMSUNSPOR,2,1,GAZİANTEPSPOR
Trendyol Süper Lig,05.04.2003 16:30,GENÇLERBİRLİĞİ,3,0,MALATYASPOR
Trendyol Süper Lig,05.04.2003 19:00,BEŞİKTAŞ A.Ş.,2,0,DENİZLİSPOR
Trendyol Süper Lig,06.04.2003 14:30,ALTAY,5,1,ELAZIĞSPOR
Trendyol Süper Lig,06.04.2003 14:30,BURSASPOR,0,2,MKE ANKARAGÜCÜ
Trendyol Süper Lig,06.04.2003 14:30,İSTANBULSPOR A.Ş.,3,1,GÖZTEPE A.Ş.
Trendyol Süper Lig,06.04.2003 17:00,DİYARBAKIRSPOR,1,3,GALATASARAY
Trendyol Süper Lig,06.04.2003 19:00,ADANASPOR A.Ş.,3,1,FENERBAHÇE
Trendyol Süper Lig,11.04.2003 20:00,GALATASARAY,5,0,ALTAY
Trendyol Süper Lig,12.04.2003 16:30,DENİZLİSPOR,0,1,SAMSUNSPOR
Trendyol Süper Lig,12.04.2003 16:30,GÖZTEPE A.Ş.,3,0,DİYARBAKIRSPOR
Trendyol Süper Lig,12.04.2003 19:00,MALATYASPOR,1,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,13.04.2003 14:30,MKE ANKARAGÜCÜ,2,0,KOCAELİSPOR
Trendyol Süper Lig,13.04.2003 14:30,ELAZIĞSPOR,4,2,ADANASPOR A.Ş.
Trendyol Süper Lig,13.04.2003 14:30,TRABZONSPOR,0,0,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,13.04.2003 14:30,GAZİANTEPSPOR,2,1,BURSASPOR
Trendyol Süper Lig,13.04.2003 19:00,FENERBAHÇE,3,3,GENÇLERBİRLİĞİ
Trendyol Süper Lig,18.04.2003 20:00,GÖZTEPE A.Ş.,0,1,GALATASARAY
Trendyol Süper Lig,19.04.2003 14:30,İSTANBULSPOR A.Ş.,1,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,19.04.2003 16:30,GENÇLERBİRLİĞİ,2,0,ELAZIĞSPOR
Trendyol Süper Lig,19.04.2003 16:30,SAMSUNSPOR,1,1,MALATYASPOR
Trendyol Süper Lig,19.04.2003 19:00,DİYARBAKIRSPOR,2,0,TRABZONSPOR
Trendyol Süper Lig,20.04.2003 14:30,KOCAELİSPOR,0,3,GAZİANTEPSPOR
Trendyol Süper Lig,20.04.2003 14:30,ADANASPOR A.Ş.,5,2,ALTAY
Trendyol Süper Lig,20.04.2003 14:30,BURSASPOR,2,0,DENİZLİSPOR
Trendyol Süper Lig,20.04.2003 19:00,BEŞİKTAŞ A.Ş.,2,0,FENERBAHÇE
Trendyol Süper Lig,26.04.2003 14:30,ELAZIĞSPOR,0,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,26.04.2003 16:30,MKE ANKARAGÜCÜ,3,1,DİYARBAKIRSPOR
Trendyol Süper Lig,26.04.2003 16:30,DENİZLİSPOR,1,2,KOCAELİSPOR
Trendyol Süper Lig,26.04.2003 19:00,FENERBAHÇE,1,1,SAMSUNSPOR
Trendyol Süper Lig,27.04.2003 14:30,ALTAY,3,3,GENÇLERBİRLİĞİ
Trendyol Süper Lig,27.04.2003 14:30,TRABZONSPOR,0,0,GÖZTEPE A.Ş.
Trendyol Süper Lig,27.04.2003 14:30,GAZİANTEPSPOR,4,3,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,27.04.2003 14:30,MALATYASPOR,4,2,BURSASPOR
Trendyol Süper Lig,27.04.2003 19:00,GALATASARAY,2,2,ADANASPOR A.Ş.
Trendyol Süper Lig,03.05.2003 16:30,BURSASPOR,2,1,FENERBAHÇE
Trendyol Süper Lig,03.05.2003 16:30,GENÇLERBİRLİĞİ,0,2,ADANASPOR A.Ş.
Trendyol Süper Lig,03.05.2003 16:30,SAMSUNSPOR,4,3,ELAZIĞSPOR
Trendyol Süper Lig,03.05.2003 16:30,İSTANBULSPOR A.Ş.,2,1,DENİZLİSPOR
Trendyol Süper Lig,03.05.2003 19:00,BEŞİKTAŞ A.Ş.,2,0,ALTAY
Trendyol Süper Lig,04.05.2003 16:30,DİYARBAKIRSPOR,0,1,GAZİANTEPSPOR
Trendyol Süper Lig,04.05.2003 16:30,KOCAELİSPOR,2,3,MALATYASPOR
Trendyol Süper Lig,04.05.2003 16:30,GÖZTEPE A.Ş.,0,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,04.05.2003 19:00,TRABZONSPOR,1,2,GALATASARAY
