League Name,Match Date,Home Team,Away Team,Score
LaLiga2,,CD Leganés,SD Eibar,1:1
LaLiga2,,,,
LaLiga2,Sat2/10/01,Sevilla FC,Elche CF,1:1
LaLiga2,Sun2/11/01,CD Tenerife,Getafe,3:0
LaLiga2,,Racing Ferrol,Real Betis,0:1
LaLiga2,,Atlético Madrid,Real Jaén CF,5:0
LaLiga2,,UD Salamanca,UE Lleida,2:0
LaLiga2,,Córdoba CF,Recr. Huelva,1:3
LaLiga2,,SD Eibar,Albacete,0:0
LaLiga2,,Uni. Las Palmas,Levante,2:2
LaLiga2,,Extremadura,Sporting Gijón,1:2
LaLiga2,,CD Badajoz,SD Compostela,2:1
LaLiga2,,Real Murcia,CD Leganés,2:2
LaLiga2,,,,
LaLiga2,Sat2/17/01,SD Compostela,Atlético Madrid,2:3
LaLiga2,,Real Jaén CF,Córdoba CF,0:0
LaLiga2,,Recr. Huelva,Uni. Las Palmas,4:1
LaLiga2,Sun2/18/01,Levante,CD Tenerife,2:0
LaLiga2,,UE Lleida,Sevilla FC,0:1
LaLiga2,,Real Betis,CD Badajoz,1:1
LaLiga2,,Albacete,Real Murcia,2:1
LaLiga2,,Getafe,Extremadura,0:1
LaLiga2,,Elche CF,Racing Ferrol,2:0
LaLiga2,,Sporting Gijón,SD Eibar,0:0
LaLiga2,,CD Leganés,UD Salamanca,0:1
LaLiga2,,,,
LaLiga2,Sat2/24/01,CD Tenerife,Recr. Huelva,1:1
LaLiga2,,UE Lleida,Elche CF,1:1
LaLiga2,,SD Eibar,Getafe,0:0
LaLiga2,Sun2/25/01,Sevilla FC,CD Leganés,4:2
LaLiga2,,Atlético Madrid,Real Betis,2:1
LaLiga2,,Córdoba CF,SD Compostela,0:0
LaLiga2,,UD Salamanca,Albacete,1:2
LaLiga2,,Extremadura,Levante,2:1
LaLiga2,,Uni. Las Palmas,Real Jaén CF,0:0
LaLiga2,,Real Murcia,Sporting Gijón,5:0
LaLiga2,,CD Badajoz,Racing Ferrol,1:0
LaLiga2,,,,
LaLiga2,Sat3/3/01,Real Betis,Córdoba CF,1:1
LaLiga2,,Levante,SD Eibar,0:0
LaLiga2,,SD Compostela,Uni. Las Palmas,0:0
LaLiga2,Sun3/4/01,Real Jaén CF,CD Tenerife,0:0
LaLiga2,,Albacete,Sevilla FC,2:1
LaLiga2,,Racing Ferrol,Atlético Madrid,0:2
LaLiga2,,CD Leganés,UE Lleida,0:0
LaLiga2,,Getafe,Real Murcia,4:0
LaLiga2,,Elche CF,CD Badajoz,0:0
LaLiga2,,Sporting Gijón,UD Salamanca,2:0
LaLiga2,,Recr. Huelva,Extremadura,3:1
LaLiga2,,,,
LaLiga2,Sat3/10/01,Sevilla FC,Sporting Gijón,1:1
LaLiga2,,Atlético Madrid,CD Badajoz,2:0
LaLiga2,Sun3/11/01,CD Tenerife,SD Compostela,4:0
LaLiga2,,Uni. Las Palmas,Real Betis,1:1
LaLiga2,,UE Lleida,Albacete,1:2
LaLiga2,,Córdoba CF,Racing Ferrol,0:1
LaLiga2,,UD Salamanca,Getafe,4:2
LaLiga2,,Real Murcia,Levante,2:0
LaLiga2,,CD Leganés,Elche CF,2:0
LaLiga2,,SD Eibar,Recr. Huelva,2:1
LaLiga2,,Extremadura,Real Jaén CF,2:0
LaLiga2,,,,
LaLiga2,Sat3/17/01,Elche CF,Atlético Madrid,2:1
LaLiga2,,CD Badajoz,Córdoba CF,0:0
