League Name,Date,Home Team,Away Team,Home Score,Away Score
Trendyol 1. Lig,18.11.2001 13:30,ALTAY,AYDINSPOR,1,0
Trendyol 1. Lig,18.11.2001 13:30,ERCİYESSPOR,KOMBASSAN KONYASPOR,2,1
Trendyol 1. Lig,18.11.2001 14:00,GÜMÜŞHANE DOĞANSPOR,BATMAN PETROLSPOR,0,0
Trendyol 1. Lig,24.11.2001 13:30,SAKARYASPOR A.Ş.,GÜMÜŞHANE DOĞANSPOR,1,1
Trendyol 1. Lig,24.11.2001 13:30,A.SEBATSPOR,ERZURUMSPOR,2,0
Trendyol 1. Lig,24.11.2001 13:30,İZMİRSPOR,SİVASSPOR,1,2
Trendyol 1. Lig,25.11.2001 13:30,DARDANELSPOR A.Ş.,ALTAY,0,1
Trendyol 1. Lig,25.11.2001 13:30,BATMAN PETROLSPOR,ŞEKERSPOR,0,0
Trendyol 1. Lig,25.11.2001 13:30,ELAZIĞSPOR,BÜYÜKŞEHİR BLD.SPOR,3,1
Trendyol 1. Lig,25.11.2001 13:30,B.B. ANKARASPOR,HATAYSPOR,3,1
Trendyol 1. Lig,25.11.2001 13:30,KAYSERİSPOR,ADANASPOR A.Ş.,2,2
Trendyol 1. Lig,25.11.2001 13:30,AYDINSPOR,ERCİYESSPOR,1,1
Trendyol 1. Lig,25.11.2001 13:30,KOMBASSAN KONYASPOR,SİİRT JETPA SPOR,4,1
Trendyol 1. Lig,02.12.2001 13:30,ADANASPOR A.Ş.,SİİRT JETPA SPOR,0,1
Trendyol 1. Lig,02.12.2001 13:30,SİVASSPOR,KAYSERİSPOR,1,0
Trendyol 1. Lig,02.12.2001 13:30,HATAYSPOR,İZMİRSPOR,1,2
Trendyol 1. Lig,02.12.2001 13:30,ERZURUMSPOR,B.B. ANKARASPOR,3,2
Trendyol 1. Lig,02.12.2001 13:30,BÜYÜKŞEHİR BLD.SPOR,A.SEBATSPOR,1,0
Trendyol 1. Lig,02.12.2001 13:30,GÜMÜŞHANE DOĞANSPOR,ELAZIĞSPOR,1,0
Trendyol 1. Lig,02.12.2001 13:30,ŞEKERSPOR,SAKARYASPOR A.Ş.,1,5
Trendyol 1. Lig,02.12.2001 13:30,ALTAY,BATMAN PETROLSPOR,4,1
Trendyol 1. Lig,02.12.2001 13:30,ERCİYESSPOR,DARDANELSPOR A.Ş.,2,3
Trendyol 1. Lig,02.12.2001 13:30,AYDINSPOR,KOMBASSAN KONYASPOR,0,4
Trendyol 1. Lig,08.12.2001 13:30,KOMBASSAN KONYASPOR,ADANASPOR A.Ş.,2,0
Trendyol 1. Lig,09.12.2001 13:30,BATMAN PETROLSPOR,ERCİYESSPOR,2,1
Trendyol 1. Lig,09.12.2001 13:30,SAKARYASPOR A.Ş.,ALTAY,1,0
Trendyol 1. Lig,09.12.2001 13:30,ELAZIĞSPOR,ŞEKERSPOR,5,2
Trendyol 1. Lig,09.12.2001 13:30,A.SEBATSPOR,GÜMÜŞHANE DOĞANSPOR,2,1
Trendyol 1. Lig,09.12.2001 13:30,B.B. ANKARASPOR,BÜYÜKŞEHİR BLD.SPOR,2,0
Trendyol 1. Lig,09.12.2001 13:30,İZMİRSPOR,ERZURUMSPOR,1,0
Trendyol 1. Lig,09.12.2001 13:30,KAYSERİSPOR,HATAYSPOR,2,1
Trendyol 1. Lig,09.12.2001 13:30,SİİRT JETPA SPOR,SİVASSPOR,2,0
Trendyol 1. Lig,16.01.2002 13:30,DARDANELSPOR A.Ş.,AYDINSPOR,0,0
Trendyol 1. Lig,15.12.2001 13:30,ŞEKERSPOR,A.SEBATSPOR,1,2
Trendyol 1. Lig,15.12.2001 13:30,ALTAY,ELAZIĞSPOR,4,1
Trendyol 1. Lig,16.12.2001 13:30,SİVASSPOR,ADANASPOR A.Ş.,0,0
