League Name,Date,Home Team,Away Team,Home Score,Away Score
Trendyol Süper Lig,03.12.2000 13:00,ÇAYKUR RİZESPOR,SAMSUNSPOR,0,1
Trendyol Süper Lig,03.12.2000 13:30,ADANASPOR A.Ş.,BURSASPOR,1,1
Trendyol Süper Lig,03.12.2000 19:00,FENERBAHÇE,ERZURUMSPOR,4,2
Trendyol Süper Lig,08.12.2000 20:00,DENİZLİSPOR,TRABZONSPOR,2,0
Trendyol Süper Lig,09.12.2000 13:30,SAMSUNSPOR,ADANASPOR A.Ş.,3,1
Trendyol Süper Lig,09.12.2000 14:00,İSTANBULSPOR A.Ş.,ANTALYASPOR A.Ş.,2,0
Trendyol Süper Lig,09.12.2000 14:00,KOCAELİSPOR,ÇAYKUR RİZESPOR,2,1
Trendyol Süper Lig,09.12.2000 19:00,BURSASPOR,FENERBAHÇE,2,2
Trendyol Süper Lig,10.12.2000 13:00,SİİRT JETPA SPOR,BEŞİKTAŞ,1,1
Trendyol Süper Lig,10.12.2000 13:00,ERZURUMSPOR,MKE ANKARAGÜCÜ,1,1
Trendyol Süper Lig,10.12.2000 13:30,GENÇLERBİRLİĞİ,YİMPAŞ YOZGATSPOR,2,1
Trendyol Süper Lig,10.12.2000 19:00,GALATASARAY,GAZİANTEPSPOR,2,0
Trendyol Süper Lig,15.12.2000 20:00,FENERBAHÇE,SAMSUNSPOR,2,1
Trendyol Süper Lig,16.12.2000 13:00,ÇAYKUR RİZESPOR,İSTANBULSPOR A.Ş.,2,1
Trendyol Süper Lig,16.12.2000 13:30,YİMPAŞ YOZGATSPOR,SİİRT JETPA SPOR,2,1
Trendyol Süper Lig,16.12.2000 13:30,GAZİANTEPSPOR,ERZURUMSPOR,6,1
Trendyol Süper Lig,16.12.2000 19:00,BEŞİKTAŞ,DENİZLİSPOR,1,1
Trendyol Süper Lig,17.12.2000 13:30,ADANASPOR A.Ş.,KOCAELİSPOR,4,4
Trendyol Süper Lig,17.12.2000 13:30,MKE ANKARAGÜCÜ,BURSASPOR,1,1
Trendyol Süper Lig,17.12.2000 14:00,ANTALYASPOR A.Ş.,GENÇLERBİRLİĞİ,4,2
Trendyol Süper Lig,17.12.2000 19:00,TRABZONSPOR,GALATASARAY,1,1
Trendyol Süper Lig,21.12.2000 20:00,TRABZONSPOR,ERZURUMSPOR,3,0
Trendyol Süper Lig,22.12.2000 13:00,ÇAYKUR RİZESPOR,GENÇLERBİRLİĞİ,2,0
Trendyol Süper Lig,22.12.2000 13:30,ADANASPOR A.Ş.,İSTANBULSPOR A.Ş.,2,2
Trendyol Süper Lig,22.12.2000 13:30,MKE ANKARAGÜCÜ,SAMSUNSPOR,2,0
Trendyol Süper Lig,22.12.2000 20:00,FENERBAHÇE,KOCAELİSPOR,4,0
Trendyol Süper Lig,23.12.2000 13:30,YİMPAŞ YOZGATSPOR,BEŞİKTAŞ,1,1
Trendyol Süper Lig,23.12.2000 13:30,GAZİANTEPSPOR,BURSASPOR,2,1
Trendyol Süper Lig,23.12.2000 14:00,ANTALYASPOR A.Ş.,SİİRT JETPA SPOR,1,3
Trendyol Süper Lig,23.12.2000 19:00,GALATASARAY,DENİZLİSPOR,1,2
Trendyol Süper Lig,02.02.2001 20:00,SAMSUNSPOR,GAZİANTEPSPOR,3,3
Trendyol Süper Lig,03.02.2001 13:30,ÇAYKUR RİZESPOR,SİİRT JETPA SPOR,3,0
Trendyol Süper Lig,03.02.2001 13:30,DENİZLİSPOR,YİMPAŞ YOZGATSPOR,2,0
Trendyol Süper Lig,03.02.2001 17:00,ERZURUMSPOR,GALATASARAY,1,2
Trendyol Süper Lig,03.02.2001 19:00,BEŞİKTAŞ,ANTALYASPOR A.Ş.,4,2
Trendyol Süper Lig,04.02.2001 13:30,BURSASPOR,TRABZONSPOR,4,2
