Home Team,Score,Away Team
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,2 - 1,ZONGULDAK KÖMÜRSPOR A.Ş
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,0 - 0,ALTINORDU
1461 TRABZON FK,2 - 1,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
DİYARBEKİR SPOR A.Ş.,2 - 1,ANKARA DEMİRSPOR
ZONGULDAK KÖMÜRSPOR A.Ş,0 - 0,SERİK BELEDİYESPOR
HES İLAÇ AFYONSPOR KULÜBÜ,2 - 0,BURSASPOR
TUNA TARIM KIRKLARELİSPOR,0 - 2,KIRŞEHİR FUTBOL SPOR KULÜBÜ
KARACABEY BELEDİYE SPOR A.Ş.,3 - 0,NAZİLLİ BELEDİYESPOR
VAN SPOR FK,1 - 2,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
ESENLER EROKSPOR,1 - 2,BUCASPOR 1928
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,0 - 1,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
ALTINORDU,3 - 0,KARACABEY BELEDİYE SPOR A.Ş.
ANKARA DEMİRSPOR,3 - 2,VAN SPOR FK
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,0 - 2,ESENLER EROKSPOR
NAZİLLİ BELEDİYESPOR,2 - 3,ANKARASPOR
BUCASPOR 1928,0 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
SERİK BELEDİYESPOR,2 - 2,1461 TRABZON FK
BURSASPOR,0 - 2,DİYARBEKİR SPOR A.Ş.
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 2,ZONGULDAK KÖMÜRSPOR A.Ş
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,2 - 0,ANKARA DEMİRSPOR
ZONGULDAK KÖMÜRSPOR A.Ş,1 - 1,KIRKLARELİSPOR FUTBOL A.Ş
HES İLAÇ AFYONSPOR KULÜBÜ,1 - 0,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
ANKARASPOR,1 - 0,ALTINORDU
ESENLER EROKSPOR,3 - 0,SERİK BELEDİYESPOR
DİYARBEKİR SPOR A.Ş.,0 - 1,BUCASPOR 1928
1461 TRABZON FK,4 - 1,KIRŞEHİR FUTBOL SPOR KULÜBÜ
KARACABEY BELEDİYE SPOR A.Ş.,1 - 1,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
VAN SPOR FK,3 - 0,BURSASPOR
1461 TRABZON FK,0 - 3,KIRKLARELİSPOR FUTBOL A.Ş
KARACABEY BELEDİYE SPOR A.Ş.,1 - 3,ANKARA DEMİRSPOR
NAZİLLİ BELEDİYESPOR,1 - 1,ALTINORDU
HES İLAÇ AFYONSPOR KULÜBÜ,1 - 2,SERİK BELEDİYESPOR
DİYARBEKİR SPOR A.Ş.,2 - 0,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,2 - 0,BURSASPOR
ESENLER EROKSPOR,4 - 2,KIRŞEHİR FUTBOL SPOR KULÜBÜ
VEFA GROUP VAN SPOR FK,1 - 0,BUCASPOR 1928
ANKARASPOR,3 - 2,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
ANKARA DEMİRSPOR,0 - 0,ANKARASPOR
SERİK BELEDİYESPOR,0 - 0,DİYARBEKİR SPOR A.Ş.
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 1,HES İLAÇ AFYONSPOR KULÜBÜ
ZONGULDAK KÖMÜRSPOR A.Ş,2 - 4,1461 TRABZON FK
KIRKLARELİSPOR FUTBOL A.Ş,1 - 2,ESENLER EROKSPOR
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,1 - 3,VEFA GROUP VAN SPOR FK
BURSASPOR,1 - 2,KARACABEY BELEDİYE SPOR A.Ş.
BUCASPOR 1928,2 - 2,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,2 - 0,NAZİLLİ BELEDİYESPOR
ESENLER EROKSPOR,6 - 2,ZONGULDAK KÖMÜRSPOR A.Ş
ALTINORDU,0 - 2,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
VEFA GROUP VAN SPOR FK,3 - 1,SERİK BELEDİYESPOR
KARACABEY BELEDİYE SPOR A.Ş.,1 - 0,BUCASPOR 1928
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,1 - 0,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
NAZİLLİ BELEDİYESPOR,1 - 0,ANKARA DEMİRSPOR
HES İLAÇ AFYONSPOR KULÜBÜ,1 - 1,KIRKLARELİSPOR FUTBOL A.Ş
